#       160    -0.4633172E+02     0.7859988E+02
    -0.5027343E+02     0.6749918E+02
    -0.5028745E+02     0.6766235E+02
    -0.5015305E+02     0.6790791E+02
    -0.5028730E+02     0.6798956E+02
    -0.5074627E+02     0.6810793E+02
    -0.5135679E+02     0.6824856E+02
    -0.5176308E+02     0.6832249E+02
    -0.5247970E+02     0.6847069E+02
    -0.5263880E+02     0.6852278E+02
    -0.5248753E+02     0.6868038E+02
    -0.5213322E+02     0.6868106E+02
    -0.5147507E+02     0.6851747E+02
    -0.5101007E+02     0.6849589E+02
    -0.5080151E+02     0.6852619E+02
    -0.5075011E+02     0.6855626E+02
    -0.5071019E+02     0.6882625E+02
    -0.5067069E+02     0.6896153E+02
    -0.5040294E+02     0.6897706E+02
    -0.5016510E+02     0.6892490E+02
    -0.5006283E+02     0.6897020E+02
    -0.5007513E+02     0.6912814E+02
    -0.5016283E+02     0.6921084E+02
    -0.5056376E+02     0.6935334E+02
    -0.5049073E+02     0.6954985E+02
    -0.5025291E+02     0.6975459E+02
    -0.5036897E+02     0.6988322E+02
    -0.5091344E+02     0.6995808E+02
    -0.5143285E+02     0.6995712E+02
    -0.5196310E+02     0.7008573E+02
    -0.5270547E+02     0.7030636E+02
    -0.5305624E+02     0.7035170E+02
    -0.5346267E+02     0.7037395E+02
    -0.5380482E+02     0.7052689E+02
    -0.5416987E+02     0.7074167E+02
    -0.5409953E+02     0.7075722E+02
    -0.5395432E+02     0.7082689E+02
    -0.5368179E+02     0.7082740E+02
    -0.5342447E+02     0.7083562E+02
    -0.5248617E+02     0.7069862E+02
    -0.5216381E+02     0.7068383E+02
    -0.5160201E+02     0.7054639E+02
    -0.5094917E+02     0.7034030E+02
    -0.5062080E+02     0.7026427E+02
    -0.5059581E+02     0.7040233E+02
    -0.5073549E+02     0.7059412E+02
    -0.5112270E+02     0.7083994E+02
    -0.5120018E+02     0.7104059E+02
    -0.5147170E+02     0.7124142E+02
    -0.5168976E+02     0.7126427E+02
    -0.5199438E+02     0.7137234E+02
    -0.5183198E+02     0.7149699E+02
    -0.5158773E+02     0.7155968E+02
    -0.5151646E+02     0.7160653E+02
    -0.5183315E+02     0.7171502E+02
    -0.5232830E+02     0.7172189E+02
    -0.5260971E+02     0.7176038E+02
    -0.5311919E+02     0.7190781E+02
    -0.5351505E+02     0.7163395E+02
    -0.5366090E+02     0.7156359E+02
    -0.5378455E+02     0.7143111E+02
    -0.5417791E+02     0.7132168E+02
    -0.5480874E+02     0.7135155E+02
    -0.5527289E+02     0.7150609E+02
    -0.5541064E+02     0.7161482E+02
    -0.5542271E+02     0.7174732E+02
    -0.5522595E+02     0.7188825E+02
    -0.5509390E+02     0.7217817E+02
    -0.5516242E+02     0.7274474E+02
    -0.5490036E+02     0.7276895E+02
    -0.5458947E+02     0.7268265E+02
    -0.5442241E+02     0.7273823E+02
    -0.5435449E+02     0.7288855E+02
    -0.5452675E+02     0.7305457E+02
